product_id,review_n,category,product_name_clean,Q_mass_total,Q_pos_product,E_mass_total,E_pos_product,S_mass_total,S_pos_product
PRD_0017,497,스킨/토너,[1등토너] 라운드랩 1025 독도 토너 200ml 기획 (+50ml),510.0098717599832,0.8066679777217667,181.8106545055984,0.7897058338787856,89.17947373441848,0.8265768447638894
PRD_0018,4,스킨/토너,마녀공장 비피다 바이옴 앰플 토너 400ml,3.289690739241453,0.8001355838533114,3.944471453914995,0.7713345714882459,1.7658378068435518,0.7844968408980272
PRD_0019,10,에센스/세럼/앰플,마녀공장 비피다 바이옴 콤플렉스 앰플 30ml,6.174995340151625,0.7678495216386888,3.173048989114432,0.6497096827396783,2.651955670733943,0.8417660676648135
PRD_0020,77,로션,싸이닉 더 심플 데일리 로션 260ml,63.52984309916796,0.8031028861575307,28.235181261408275,0.8475350358258271,13.234975639423777,0.860334480117456
PRD_0021,376,스킨/토너,[1등토너] 라운드랩 1025 독도 토너 500ml 기획 (+100ml),392.8192883046983,0.8154160153106906,140.2425468351072,0.7983316248647054,79.93816486019448,0.8450227510770509
PRD_0023,3,에센스/세럼/앰플,[끝판꿀광+트러블개선] 스킨푸드 로열허니 프로폴리스 인리치 에센스,2.7635517314301707,0.8643656403868694,0.97089605400011,0.8292483691188328,2.2655522145697184,0.856818419841756
PRD_0024,1381,에센스/세럼/앰플,미샤 비타씨플러스 잡티씨 탄력 앰플40ml,1123.7532516533745,0.7501208667805145,499.17146238348914,0.7896479498041324,335.0752859631366,0.8321240250654643
PRD_0025,2,크림,[수분진정] 아크웰 리얼 아쿠아 밸런싱 크림 50ml,1.596178970367498,0.6750522316508737,0.2996484146787271,0.8404521624717486,0.1041726149537747,0.8462460684161309
PRD_0026,20,에센스/세럼/앰플,[수분레이어링] 아크웰 리얼 아쿠아 밸런싱 앰플 35ml,13.517424984714792,0.8212189550076665,7.008868793386951,0.6778922165917743,4.473706221898256,0.6834419366225881
PRD_0028,2,크림,[눈가&목/레티날0.025%] 닥터디퍼런트 비타리프트 아이앤넥 크림 20g,1.7887797507787728,0.6386190401376595,0.0948808826947796,0.6132142898978731,0.1163393665264476,0.6401004376836323
PRD_0029,43,크림,[탄력/보습크림] 닥터디퍼런트 131 세콜지 모이스처라이저 100ml,47.23592258989826,0.7652310377235204,17.86029845074648,0.7504905197757643,8.903778959355273,0.7652184075851003
PRD_0030,14,크림,[산뜻/지성크림] 닥터디퍼런트 113 세콜지 모이스처라이저 100ml,14.860910758000337,0.8368842122979608,3.7411815126606185,0.7791371411989036,1.3979077293390456,0.8293906529831307
PRD_0033,3,크림,[트러블케어] 닥터디퍼런트 비타아크날 TX 나이트 크림 20g,2.749363563613516,0.7225952145590925,1.0400377871801625,0.65607587899695,0.2105986492063219,0.6599251275316371
PRD_0034,1834,스킨/토너,[대용량/총500ml] 마녀공장 비피다 바이옴 앰플 토너 400ml+100ml 기획,1282.0957501757812,0.8250305643560698,843.3495606631407,0.8379457525582586,503.5546891610783,0.8781201079178872
PRD_0035,27,크림,이즈앤트리 히아루론산 아쿠아 젤 크림 100ml,24.323256056244904,0.8095296736555435,9.350107024452294,0.7445448519027054,5.326636919302802,0.8639198449302817
PRD_0036,9,스킨/토너,토리든 다이브인 저분자 히알루론산 토너 300ml,5.673916021514073,0.862708203998649,2.475197113731354,0.7961970724171674,2.850886864754572,0.9100634972837228
PRD_0037,61,크림,마녀공장 비피다 바이옴 아쿠아 배리어 크림 80ml 증정기획 (+20mlx2ea),74.11342890416039,0.7944613094381,20.548654246039927,0.7581238847317733,11.33791684979969,0.8044270661987654
PRD_0038,476,크림,[수분크림] 에스트라 아토베리어365 하이드로 수딩크림 60ml,510.0088875625394,0.7481873300414831,185.1919947794407,0.6909736518994614,83.79911765801982,0.7788142499982479
PRD_0039,307,스킨/토너,[속수분충전/매끈피부결] 셀퓨전씨 약산성 패리어 토너 300ml,211.74258285544184,0.833177666536727,92.40017280852484,0.8288369374537121,92.85724433603332,0.8969868213572466
PRD_0040,2494,크림,[화해1위/모공 수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml,2899.9494767189635,0.766511345530239,750.002174285897,0.762754873155693,456.04834899513946,0.8119027555487092
PRD_0041,574,로션,마녀공장 비피다 바이옴 앰플 로션 300ml,348.51857900848023,0.848960920039075,232.84682458241335,0.8521649317249034,158.63459640910645,0.8981176392547935
PRD_0042,36,스킨/토너,[진정/각질제거/대용량] 닥터지 레드 블레미쉬 클리어 수딩 토너 500ml,22.29263497448267,0.8637085152055662,14.102049374262464,0.841715766243985,7.605315651254865,0.8977359774603104
PRD_0043,240,스킨/토너,[수분진정/붉은기완화] 원씽 병풀 추출물 토너 150ml,179.16563760433405,0.7419223768806436,79.44747510571233,0.7969453416853712,57.386887289953606,0.8380977758676607
PRD_0044,939,미스트/오일,차앤박(CNP) 프로폴리스 에너지 앰플 미스트 100ml,1045.3472324290792,0.7548854271106505,306.7112583356843,0.7578484743213272,180.9415092352365,0.7912835789641515
PRD_0045,455,스킨/토너,[수분진정] 아비브 어성초 카밍 토너 스킨부스터 더블 기획 (200ml+200ml),373.4502015596228,0.8251759222931591,143.15768594923844,0.8204277752472053,110.39211249113882,0.8794364304722307
PRD_0046,6,크림,[진정크림/총100ml] 웰라쥬 리얼 시카카밍 95 크림 80ml 기획 (+20ml),5.952696287743574,0.92686084128573,1.2964699556412207,0.8381600606099888,0.7508337566152053,0.9110266662861708
PRD_0047,42,스킨/토너,[뿌리는 쫀쫀거품 토너] 더말로지카 3 in 1 멀티-액티브 토너 50ml (쿨링/진정/수분),31.441057068887485,0.8060741825597867,13.110713816731106,0.8313130679057756,12.44822911438141,0.8863899004621202
PRD_0048,2166,크림,[수분광/모공쫀쫀 수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획(60ml+30ml),2565.8126687766207,0.7584790006608502,668.024295254464,0.7571816734433072,411.16303596891487,0.8071119067715161
